hobby,tier
football,common
watching football,common
cycling,common
hiking,common
swimming,common
allotment gardening,common
reading novels,common
cooking,common
baking,common
grilling,common
board games,common
camping,common
jogging,common
going to the gym,common
Nordic walking,common
handball,common
table tennis,common
tennis,common
skiing,common
travel,common
playing guitar,common
singing in a choir,common
photography,common
video games,common
watching movies,common
crossword puzzles,common
yoga,common
knitting,common
home improvement,common
volunteering,common
visiting museums,common
flea markets,common
dancing,common
fishing,common
chess,common
badminton,common
bowling,common
darts,common
walking,common
beekeeping,niche
model trains,niche
amateur radio,niche
rock climbing,niche
pottery,niche
archery,niche
playing in a brass band,niche
homebrewing,niche
geocaching,niche
mushroom foraging,niche
bouldering,niche
triathlon,niche
sailing,niche
horse riding,niche
motorcycle touring,niche
