hobby,tier
watching baseball,common
watching soccer,common
watching sumo,common
watching tennis,common
watching figure skating,common
playing baseball,common
playing futsal,common
playing golf,common
playing tennis,common
table tennis,common
badminton,common
swimming,common
going to the gym,common
yoga,common
jogging,common
walking,common
hiking,common
mountain climbing,common
cycling,common
camping,common
fishing,common
skiing,common
video games,common
mobile gaming,common
shogi,common
mahjong,common
board games,common
playing cards,common
trading card games,common
sudoku,common
jigsaw puzzles,common
reading manga,common
watching anime,common
reading novels,common
watching TV dramas,common
watching movies,common
live concerts,common
following pop idols,common
collecting anime figures,common
building plastic models,common
podcasts,common
cooking,common
baking,common
making bento,common
trying ramen shops,common
cafe hopping,common
izakaya hopping,common
wine tasting,common
hot spring trips,common
going to saunas,common
calligraphy,common
flower arranging,common
photography,common
drawing,common
knitting,common
sewing,common
playing piano,common
playing guitar,common
karaoke,common
dancing,common
gardening,common
vegetable gardening,common
collecting houseplants,common
home improvement,common
travel,common
visiting shrines and temples,common
visiting museums,common
visiting aquariums,common
local festivals,common
learning English,common
volunteering,common
crossword puzzles,common
watching comedy shows,common
going to the cinema,common
reading light novels,common
driving scenic routes,common
watching YouTube channels,common
collecting gachapon,common
stargazing,common
picnics in the park,common
visiting zoos,common
bird watching,common
listening to city pop,common
playing drums,common
singing in a choir,common
streaming TV shows,common
watching esports,common
flea markets,common
visiting theme parks,common
watching rugby,common
playing basketball,common
playing volleyball,common
bouldering,common
collecting stationery,common
reading history books,common
aquarium keeping,common
tea ceremony,niche
kendo,niche
judo,niche
aikido,niche
Japanese archery,niche
taiko drumming,niche
playing shamisen,niche
haiku writing,niche
playing go,niche
origami,niche
bonsai,niche
pottery,niche
film photography,niche
train photography,niche
scenic train trips,niche
model trains,niche
cosplay,niche
voice actor events,niche
solo camping,niche
running marathons,niche
snowboarding,niche
surfing,niche
playing in a band,niche
DJing,niche
motorcycle touring,niche
classic car meets,niche
amateur radio,niche
keeping reptiles,niche
visiting cat cafes,niche
urban sketching,niche
kimono dressing,niche
noh theater,niche
rakugo shows,niche
koto playing,niche
wood carving,niche
leathercraft,niche
soba making,niche
fermenting foods,niche
mushroom foraging,niche
beekeeping,niche
falconry,niche
geocaching,niche
escape rooms,niche
billiards,niche
darts,niche
fencing,niche
triathlon,niche
